DATE,COMPUTSA
1990-01-01,1401.6666666666666667
1990-04-01,1315.3333333333333333
1990-07-01,1304.6666666666666667
1990-10-01,1234.3333333333333333
1991-01-01,1138.3333333333333333
1991-04-01,1085.3333333333333333
1991-07-01,1114.0000000000000000
1991-10-01,1030.3333333333333333
1992-01-01,1095.6666666666666667
1992-04-01,1153.0000000000000000
1992-07-01,1171.3333333333333333
1992-10-01,1187.3333333333333333
1993-01-01,1158.6666666666666667
1993-04-01,1173.3333333333333333
1993-07-01,1175.3333333333333333
1993-10-01,1256.6666666666666667
1994-01-01,1279.3333333333333333
1994-04-01,1380.0000000000000000
1994-07-01,1347.6666666666666667
1994-10-01,1376.3333333333333333
1995-01-01,1376.6666666666666667
1995-04-01,1303.3333333333333333
1995-07-01,1298.6666666666666667
1995-10-01,1298.3333333333333333
1996-01-01,1362.6666666666666667
1996-04-01,1395.6666666666666667
1996-07-01,1433.3333333333333333
1996-10-01,1430.6666666666666667
1997-01-01,1455.6666666666666667
1997-04-01,1384.3333333333333333
1997-07-01,1362.3333333333333333
1997-10-01,1414.6666666666666667
1998-01-01,1411.3333333333333333
1998-04-01,1476.6666666666666667
1998-07-01,1508.3333333333333333
1998-10-01,1496.3333333333333333
1999-01-01,1577.0000000000000000
1999-04-01,1617.0000000000000000
1999-07-01,1601.0000000000000000
1999-10-01,1616.0000000000000000
2000-01-01,1651.6666666666666667
2000-04-01,1607.3333333333333333
2000-07-01,1532.0000000000000000
2000-10-01,1524.3333333333333333
2001-01-01,1487.3333333333333333
2001-04-01,1575.0000000000000000
2001-07-01,1582.6666666666666667
2001-10-01,1615.6666666666666667
2002-01-01,1620.6666666666666667
2002-04-01,1639.6666666666666667
2002-07-01,1659.3333333333333333
2002-10-01,1663.3333333333333333
2003-01-01,1660.0000000000000000
2003-04-01,1678.6666666666666667
2003-07-01,1656.3333333333333333
2003-10-01,1712.0000000000000000
2004-01-01,1740.3333333333333333
2004-04-01,1896.0000000000000000
2004-07-01,1862.6666666666666667
2004-10-01,1839.3333333333333333
2005-01-01,1862.3333333333333333
2005-04-01,1998.3333333333333333
2005-07-01,1920.0000000000000000
2005-10-01,1936.6666666666666667
2006-01-01,2109.6666666666666667
2006-04-01,2006.0000000000000000
2006-07-01,1940.6666666666666667
2006-10-01,1899.6666666666666667
2007-01-01,1695.0000000000000000
2007-04-01,1518.6666666666666667
2007-07-01,1467.3333333333333333
2007-10-01,1374.3333333333333333
2008-01-01,1266.6666666666666667
2008-04-01,1102.0000000000000000
2008-07-01,1088.0000000000000000
2008-10-01,1050.6666666666666667
2009-01-01,811.6666666666666667
2009-04-01,820.3333333333333333
2009-07-01,770.0000000000000000
2009-10-01,780.0000000000000000
2010-01-01,664.6666666666666667
2010-04-01,777.6666666666666667
2010-07-01,598.6666666666666667
2010-10-01,574.0000000000000000
2011-01-01,575.3333333333333333
2011-04-01,559.0000000000000000
2011-07-01,617.0000000000000000
2011-10-01,587.0000000000000000
2012-01-01,562.6666666666666667
2012-04-01,640.6666666666666667
2012-07-01,670.6666666666666667
2012-10-01,691.6666666666666667
2013-01-01,753.0000000000000000
2013-04-01,718.6666666666666667
2013-07-01,775.0000000000000000
2013-10-01,806.0000000000000000
2014-01-01,869.0000000000000000
2014-04-01,841.6666666666666667
2014-07-01,907.3333333333333333
2014-10-01,912.6666666666666667
2015-01-01,866.0000000000000000
2015-04-01,991.6666666666666667
2015-07-01,1000.6666666666666667
2015-10-01,1002.6666666666666667
2016-01-01,1032.0000000000000000
2016-04-01,1018.0000000000000000
2016-07-01,1053.6666666666666667
2016-10-01,1138.3333333333333333
2017-01-01,1129.0000000000000000
2017-04-01,1158.0000000000000000
2017-07-01,1127.3333333333333333
2017-10-01,1191.3333333333333333
2018-01-01,1227.6666666666666667
2018-04-01,1230.6666666666666667
2018-07-01,1196.3333333333333333
2018-10-01,1103.3333333333333333
2019-01-01,1299.6666666666666667
2019-04-01,1239.0000000000000000
2019-07-01,1216.6666666666666667
2019-10-01,1279.6666666666666667
2020-01-01,1283.0000000000000000
2020-04-01,1204.0000000000000000
2020-07-01,1327.3333333333333333
2020-10-01,1328.6666666666666667
2021-01-01,1390.6666666666666667
2021-04-01,1361.3333333333333333
