DATE,UNDCONTSA
1990-01-01,885
1990-04-01,846
1990-07-01,793
1990-10-01,745
1991-01-01,678
1991-04-01,654
1991-07-01,633
1991-10-01,633
1992-01-01,656
1992-04-01,644
1992-07-01,638
1992-10-01,638
1993-01-01,633
1993-04-01,654
1993-07-01,677
1993-10-01,703
1994-01-01,732
1994-04-01,757
1994-07-01,774
1994-10-01,784
1995-01-01,771
1995-04-01,759
1995-07-01,780
1995-10-01,799
1996-01-01,814
1996-04-01,826
1996-07-01,824
1996-10-01,814
1997-01-01,808
1997-04-01,826
1997-07-01,846
1997-10-01,872
1998-01-01,905
1998-04-01,927
1998-07-01,952
1998-10-01,1003
1999-01-01,994
1999-04-01,981
1999-07-01,983
1999-10-01,983
2000-01-01,988
2000-04-01,982
2000-07-01,970
2000-10-01,969
2001-01-01,1001
2001-04-01,1013
2001-07-01,1014
2001-10-01,996
2002-01-01,1013
2002-04-01,1023
2002-07-01,1024
2002-10-01,1033
2003-01-01,1044
2003-04-01,1064
2003-07-01,1121
2003-10-01,1183
2004-01-01,1219
2004-04-01,1229
2004-07-01,1247
2004-10-01,1280
2005-01-01,1311
2005-04-01,1329
2005-07-01,1377
2005-10-01,1405
2006-01-01,1423
2006-04-01,1383
2006-07-01,1317
2006-10-01,1247
2007-01-01,1192
2007-04-01,1161
2007-07-01,1108
2007-10-01,1059
2008-01-01,1014
2008-04-01,975
2008-07-01,904
2008-10-01,806
2009-01-01,717
2009-04-01,627
2009-07-01,576
2009-10-01,517
2010-01-01,492
2010-04-01,447
2010-07-01,439
2010-10-01,427
2011-01-01,420
2011-04-01,416
2011-07-01,417
2011-10-01,434
2012-01-01,458
2012-04-01,486
2012-07-01,511
2012-10-01,551
2013-01-01,596.0
2013-04-01,629
2013-07-01,661
2013-10-01,707.0
2014-01-01,726.0
2014-04-01,771.0
2014-07-01,797.0
2014-10-01,826.0
2015-01-01,843.0
2015-04-01,896.0
2015-07-01,939.0
2015-10-01,970.0
2016-01-01,987.0
2016-04-01,1016.0
2016-07-01,1038.0
2016-10-01,1057.0
2017-01-01,1071.0
2017-04-01,1072.0
2017-07-01,1093.0
2017-10-01,1100.0
2018-01-01,1121.0
2018-04-01,1125.0
2018-07-01,1135.0
2018-10-01,1149.0
2019-01-01,1125.0
2019-04-01,1143.0
2019-07-01,1160.0
2019-10-01,1179.0
2020-01-01,1215.0
2020-04-01,1187.0
2020-07-01,1218.0
2020-10-01,1264.0
2021-01-01,1307.0
2021-04-01,1359.0
