DATE,PERMIT
1990-01-01,1441.0000000000000000
1990-04-01,1103.6666666666666667
1990-07-01,1041.0000000000000000
1990-10-01,909.0000000000000000
1991-01-01,850.0000000000000000
1991-04-01,957.0000000000000000
1991-07-01,963.6666666666666667
1991-10-01,1012.0000000000000000
1992-01-01,1101.6666666666666667
1992-04-01,1055.6666666666666667
1992-07-01,1092.6666666666666667
1992-10-01,1142.0000000000000000
1993-01-01,1127.0000000000000000
1993-04-01,1115.3333333333333333
1993-07-01,1218.3333333333333333
1993-10-01,1368.3333333333333333
1994-01-01,1333.6666666666666667
1994-04-01,1381.6666666666666667
1994-07-01,1374.6666666666666667
1994-10-01,1377.6666666666666667
1995-01-01,1254.0000000000000000
1995-04-01,1278.3333333333333333
1995-07-01,1387.0000000000000000
1995-10-01,1424.0000000000000000
1996-01-01,1414.6666666666666667
1996-04-01,1449.6666666666666667
1996-07-01,1418.3333333333333333
1996-10-01,1393.6666666666666667
1997-01-01,1421.0000000000000000
1997-04-01,1412.3333333333333333
1997-07-01,1461.0000000000000000
1997-10-01,1474.6666666666666667
1998-01-01,1602.3333333333333333
1998-04-01,1550.6666666666666667
1998-07-01,1613.6666666666666667
1998-10-01,1711.0000000000000000
1999-01-01,1705.6666666666666667
1999-04-01,1647.3333333333333333
1999-07-01,1634.6666666666666667
1999-10-01,1668.0000000000000000
2000-01-01,1690.0000000000000000
2000-04-01,1570.6666666666666667
2000-07-01,1554.6666666666666667
2000-10-01,1578.0000000000000000
2001-01-01,1671.3333333333333333
2001-04-01,1652.3333333333333333
2001-07-01,1592.6666666666666667
2001-10-01,1632.3333333333333333
2002-01-01,1714.3333333333333333
2002-04-01,1714.3333333333333333
2002-07-01,1745.3333333333333333
2002-10-01,1822.0000000000000000
2003-01-01,1806.3333333333333333
2003-04-01,1837.6666666666666667
2003-07-01,1937.3333333333333333
2003-10-01,1972.3333333333333333
2004-01-01,1994.6666666666666667
2004-04-01,2080.0000000000000000
2004-07-01,2069.6666666666666667
2004-10-01,2086.0000000000000000
2005-01-01,2105.0000000000000000
2005-04-01,2137.6666666666666667
2005-07-01,2228.3333333333333333
2005-10-01,2169.3333333333333333
2006-01-01,2157.0000000000000000
2006-04-01,1923.3333333333333333
2006-07-01,1713.3333333333333333
2006-10-01,1581.0000000000000000
2007-01-01,1606.6666666666666667
2007-04-01,1456.6666666666666667
2007-07-01,1314.3333333333333333
2007-10-01,1188.3333333333333333
2008-01-01,1025.0000000000000000
2008-04-01,1061.0000000000000000
2008-07-01,858.6666666666666667
2008-10-01,638.6666666666666667
2009-01-01,538.6666666666666667
2009-04-01,559.3333333333333333
2009-07-01,606.6666666666666667
2009-10-01,623.3333333333333333
2010-01-01,657.6666666666666667
2010-04-01,599.6666666666666667
2010-07-01,574.0000000000000000
2010-10-01,583.3333333333333333
2011-01-01,567.0000000000000000
2011-04-01,611.6666666666666667
2011-07-01,626.0000000000000000
2011-10-01,691.3333333333333333
2012-01-01,752.0000000000000000
2012-04-01,774.0000000000000000
2012-07-01,873.0000000000000000
2012-10-01,915.0000000000000000
2013-01-01,952.0000000000000000
2013-04-01,985.6666666666666667
2013-07-01,988.3333333333333333
2013-10-01,1026.0000000000000000
2014-01-01,1027.3333333333333333
2014-04-01,1039.3333333333333333
2014-07-01,1066.6666666666666667
2014-10-01,1075.0000000000000000
2015-01-01,1082.6666666666666667
2015-04-01,1272.3333333333333333
2015-07-01,1149.6666666666666667
2015-10-01,1205.3333333333333333
2016-01-01,1154.0000000000000000
2016-04-01,1187.3333333333333333
2016-07-01,1225.0000000000000000
2016-10-01,1255.3333333333333333
2017-01-01,1275.3333333333333333
2017-04-01,1265.3333333333333333
2017-07-01,1278.3333333333333333
2017-10-01,1319.0000000000000000
2018-01-01,1363.6666666666666667
2018-04-01,1347.3333333333333333
2018-07-01,1293.6666666666666667
2018-10-01,1310.3333333333333333
2019-01-01,1305.0000000000000000
2019-04-01,1316.6666666666666667
2019-07-01,1429.0000000000000000
2019-10-01,1490.3333333333333333
2020-01-01,1470.0000000000000000
2020-04-01,1212.0000000000000000
2020-07-01,1551.0000000000000000
2020-10-01,1683.0000000000000000
2021-01-01,1788.0000000000000000
2021-04-01,1670.0000000000000000
