date,new_permits_thousands,units_not_started_thousands,units_started_thousands,units_under_construction_thousands,units_constructed_thousands
2017-07-01,1257.0,153.0,1175.0,1093.0,1108.0
2017-10-01,1309.0,156.0,1182.0,1100.0,1203.0
2018-01-01,1407.0,161.0,1327.0,1121.0,1189.0
2018-04-01,1320.0,165.0,1199.0,1125.0,1216.0
2018-07-01,1289.0,171.0,1238.0,1135.0,1174.0
2018-10-01,1338.0,191.0,1095.0,1149.0,1052.0
2019-01-01,1316.0,182.0,1203.0,1125.0,1316.0
2019-04-01,1276.0,163.0,1237.0,1143.0,1170.0
2019-07-01,1439.0,171.0,1285.0,1160.0,1136.0
2019-10-01,1453.0,182.0,1547.0,1179.0,1308.0
2020-01-01,1382.0,158.0,1277.0,1215.0,1267.0
2020-04-01,1296.0,164.0,1273.0,1187.0,1243.0
2020-07-01,1589.0,178.0,1448.0,1218.0,1426.0
2020-10-01,1758.0,187.0,1661.0,1264.0,1386.0
2021-01-01,1755.0,229.0,1725.0,1307.0,1497.0
2021-04-01,1594.0,235.0,1643.0,1359.0,1324.0
