ratio_for_sale_to_sold
7.8
7.9
8.4
8.5
7.3
7.0
7.4
6.2
6.1
5.6
5.0
5.0
5.4
5.2
4.9
4.5
4.8
6.2
6.0
6.6
6.8
5.8
6.3
6.4
6.2
6.0
5.2
5.0
4.1
4.4
4.2
4.4
4.1
3.8
4.1
3.8
4.1
3.9
4.5
4.3
4.3
4.8
4.0
3.6
3.8
4.2
4.4
3.8
4.1
4.2
3.9
4.0
4.1
3.5
3.8
4.0
3.6
3.9
4.1
4.1
4.1
4.3
4.7
4.9
5.9
6.3
6.7
6.5
7.9
8.2
9.2
9.6
10.5
10.7
10.9
11.2
11.0
8.5
7.8
8.0
7.1
8.3
7.6
7.0
7.2
6.6
6.3
5.3
4.9
4.8
4.5
4.5
4.2
4.1
5.4
5.2
5.6
5.7
5.4
5.1
5.1
5.4
5.9
5.1
5.5
5.3
5.2
5.4
4.9
5.4
5.5
5.3
5.2
6.2
6.7
7.3
5.6
5.6
5.5
5.3
6.3
4.3
3.5
3.8
4.2
6.3
