date,ten_y_2021,twenty_y_2021,thirty_y_2021
2020-01-02,0.93,1.46,1.66
2020-01-03,0.96,1.49,1.7
2020-01-06,1.04,1.6,1.81
2020-01-07,1.08,1.64,1.85
2020-01-08,1.13,1.67,1.87
2020-01-09,1.15,1.68,1.88
2020-01-10,1.15,1.68,1.88
2020-01-13,1.1,1.63,1.82
2020-01-14,1.15,1.69,1.88
2020-01-15,1.11,1.66,1.85
2020-01-16,1.1,1.65,1.84
2020-01-17,1.1,1.65,1.84
2020-01-21,1.12,1.68,1.87
2020-01-22,1.1,1.66,1.85
2020-01-23,1.05,1.61,1.8
2020-01-24,1.05,1.61,1.8
2020-01-27,1.04,1.6,1.79
2020-01-28,1.07,1.63,1.81
2020-01-29,1.11,1.68,1.87
2020-01-30,1.09,1.66,1.84
2020-01-31,1.12,1.69,1.87
2020-02-03,1.15,1.73,1.92
2020-02-04,1.15,1.75,1.93
2020-02-05,1.19,1.79,1.97
2020-02-06,1.19,1.78,1.96
2020-02-07,1.18,1.78,1.95
2020-02-10,1.15,1.75,1.92
2020-02-11,1.16,1.77,1.94
2020-02-12,1.2,1.83,2.01
2020-02-13,1.3,1.92,2.08
2020-02-14,1.29,1.92,2.06
2020-02-18,1.29,1.91,2.08
2020-02-19,1.34,1.98,2.14
2020-02-20,1.37,2.02,2.19
2020-02-21,1.37,2.03,2.21
2020-02-24,1.38,2.07,2.24
2020-02-25,1.54,2.25,2.33
2020-02-26,1.44,2.08,2.17
2020-02-27,1.45,2.11,2.23
2020-02-28,1.42,2.09,2.21
2020-03-02,1.47,2.12,2.25
2020-03-03,1.54,2.18,2.3
2020-03-04,1.56,2.18,2.28
2020-03-05,1.59,2.2,2.31
2020-03-06,1.55,2.16,2.26
2020-03-09,1.53,2.15,2.24
2020-03-10,1.54,2.18,2.29
2020-03-11,1.64,2.31,2.4
2020-03-12,1.62,2.27,2.37
2020-03-13,1.62,2.3,2.38
2020-03-16,1.63,2.32,2.42
2020-03-17,1.71,2.36,2.45
2020-03-18,1.74,2.36,2.45
2020-03-19,1.69,2.29,2.38
2020-03-20,1.63,2.24,2.34
2020-03-23,1.62,2.21,2.31
2020-03-24,1.63,2.24,2.34
2020-03-25,1.67,2.27,2.37
2020-03-26,1.73,2.32,2.43
2020-03-27,1.73,2.29,2.38
2020-03-30,1.74,2.31,2.41
2020-03-31,1.69,2.24,2.34
2020-04-01,1.72,2.27,2.35
2020-04-02,1.73,2.28,2.36
2020-04-03,1.67,2.24,2.32
2020-04-06,1.68,2.26,2.35
2020-04-07,1.64,2.22,2.32
2020-04-08,1.67,2.23,2.34
2020-04-09,1.69,2.24,2.34
2020-04-13,1.64,2.21,2.32
2020-04-14,1.64,2.22,2.32
2020-04-15,1.56,2.13,2.23
2020-04-16,1.59,2.15,2.26
2020-04-17,1.61,2.18,2.29
2020-04-20,1.58,2.16,2.27
2020-04-21,1.57,2.16,2.26
2020-04-22,1.57,2.13,2.24
2020-04-23,1.58,2.14,2.25
2020-04-24,1.58,2.13,2.24
2020-04-27,1.63,2.18,2.29
2020-04-28,1.63,2.19,2.29
2020-04-29,1.65,2.2,2.31
2020-04-30,1.65,2.19,2.3
2020-05-01,1.63,2.18,2.3
2020-05-04,1.61,2.16,2.27
2020-05-05,1.59,2.14,2.25
2020-05-06,1.58,2.14,2.24
2020-05-07,1.6,2.17,2.28
2020-05-08,1.63,2.2,2.32
2020-05-11,1.64,2.23,2.35
2020-05-12,1.69,2.29,2.4
2020-05-13,1.66,2.28,2.39
2020-05-14,1.63,2.25,2.35
2020-05-15,1.64,2.27,2.36
2020-05-18,1.64,2.27,2.37
2020-05-19,1.68,2.3,2.38
2020-05-20,1.63,2.25,2.34
2020-05-21,1.63,2.24,2.33
2020-05-22,1.61,2.22,2.31
2020-05-26,1.56,2.16,2.26
2020-05-27,1.58,2.17,2.27
2020-05-28,1.61,2.2,2.29
2020-05-29,1.58,2.18,2.26
2020-06-01,1.62,2.22,2.3
2020-06-02,1.59,2.21,2.28
2020-06-03,1.63,2.22,2.3
2020-06-04,1.56,2.16,2.24
2020-06-05,1.57,2.17,2.25
2020-06-08,1.53,2.13,2.21
2020-06-09,1.5,2.1,2.17
2020-06-10,1.45,2.07,2.15
2020-06-11,1.47,2.08,2.15
2020-06-12,1.51,2.12,2.19
2020-06-15,1.51,2.12,2.2
2020-06-16,1.57,2.13,2.2
2020-06-17,1.52,2.05,2.11
2020-06-18,1.45,1.97,2.01
2020-06-19,1.5,2.05,2.11
2020-06-22,1.48,2.03,2.1
2020-06-23,1.5,2.04,2.11
2020-06-24,1.49,2.03,2.1
2020-06-25,1.54,2.09,2.16
2020-06-26,1.49,2.04,2.1
2020-06-29,1.49,2.03,2.1
2020-06-30,1.45,2.0,2.06
2020-07-01,1.48,2.01,2.07
2020-07-02,1.44,1.98,2.05
2020-07-06,1.37,1.92,2.0
2020-07-07,1.33,1.87,1.94
2020-07-08,1.3,1.84,1.91
2020-07-09,1.37,1.91,1.99
2020-07-10,1.38,1.93,2.0
2020-07-13,1.42,1.96,2.04
2020-07-14,1.37,1.91,1.98
2020-07-15,1.31,1.85,1.92
